gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2018-05-18,Regular,2018,0,0,DAL,Away,Loss,0,78,16,9,200,2,4,24,80,29,0.36,60,25,0.42,20,4,0.20,18,16,0.89,12,28,40,55.56,0.55,0.46,0.39,29.27,90.32,9.29,2.49,4.99,10.00,0.97,45.25,45.25,97.22,107.19,-9.97,0.38,16.48,80.23,1.78,96.28,0.22,0,0,PHO,Home,Win,0,86,16,8,200,5,10,20,64,26,0.41,40,16,0.40,24,10,0.42,27,24,0.89,3,29,32,44.44,0.62,0.61,0.48,9.68,70.73,9.54,6.33,12.66,16.67,1.34,65.62,65.62,108.87,98.75,10.12,0.38,21.02,2.00,0.62,78.99,94.79,PHO
2018-05-19,Regular,2018,0,0,CHI,Away,Win,0,82,19,12,200,3,1,11,63,31,0.49,48,26,0.54,15,5,0.33,20,15,0.75,9,35,44,57.89,0.61,0.61,0.53,28.12,79.55,14.32,4.09,1.36,1.64,1.30,68.00,68.00,111.76,87.23,24.53,0.47,22.30,73.37,1.58,88.04,0.25,0,0,IND,Home,Loss,0,64,16,5,200,7,3,15,76,28,0.37,61,25,0.41,15,3,0.20,8,5,0.62,9,23,32,42.11,0.57,0.41,0.39,20.45,71.88,5.92,10.03,4.30,6.25,0.84,43.75,43.75,91.74,117.55,-25.81,0.39,17.12,3.20,1.40,69.76,83.71,CHI
2018-05-20,Regular,2018,0,0,NYL,Away,Loss,0,76,18,8,200,10,4,18,72,26,0.36,47,17,0.36,25,9,0.36,19,15,0.79,8,22,30,41.10,0.69,0.50,0.42,19.05,70.97,9.05,12.78,5.11,8.00,1.06,54.38,54.38,97.16,102.28,-5.12,0.36,20.08,78.22,2.25,93.86,1.25,1,0,CHI,Home,Win,0,80,20,15,200,5,6,19,63,30,0.48,50,24,0.48,13,6,0.46,18,14,0.78,9,34,43,58.90,0.67,0.60,0.52,29.03,80.95,17.46,6.43,7.71,12.77,1.27,67.00,67.00,102.81,97.67,5.14,0.43,22.20,1.33,0.33,77.81,93.37,CHI
2018-05-20,Regular,2018,0,0,LVA,Away,Win,0,65,8,19,200,6,3,21,68,18,0.26,61,17,0.28,7,1,0.14,34,28,0.82,12,29,41,49.40,0.44,0.43,0.27,27.91,72.50,18.63,7.00,3.50,5.17,0.96,22.50,22.50,75.87,117.89,-42.02,0.24,10.00,85.67,0.42,102.80,0.32,0,0,CON,Home,Loss,0,101,27,8,200,13,6,23,79,37,0.47,58,26,0.45,21,11,0.52,22,16,0.73,11,31,42,50.60,0.73,0.60,0.54,27.50,72.09,8.27,15.47,7.14,9.84,1.28,94.25,94.25,120.20,77.35,42.85,0.49,25.88,3.38,1.62,84.03,100.84,LVA
2018-05-20,Regular,2018,0,0,ATL,Away,Win,0,78,18,14,200,9,4,32,73,26,0.36,55,21,0.38,18,5,0.28,28,21,0.75,14,21,35,46.67,0.69,0.49,0.39,33.33,63.64,14.10,11.05,4.91,8.51,1.07,43.50,43.50,95.78,124.02,-28.24,0.36,19.42,81.44,1.29,97.73,0.64,0,1,DAL,Home,Loss,1,101,14,12,200,5,10,22,64,31,0.48,47,25,0.53,17,6,0.35,42,33,0.79,12,28,40,53.33,0.45,0.69,0.53,36.36,66.67,12.70,6.08,12.16,18.18,1.58,76.25,76.25,122.86,94.88,27.98,0.48,19.57,1.17,0.42,82.21,98.65,ATL
2018-05-20,Regular,2018,0,0,LAS,Away,Win,0,77,13,6,200,14,1,20,72,29,0.40,54,26,0.48,18,3,0.17,20,16,0.80,5,20,25,37.88,0.45,0.50,0.42,12.50,76.92,6.91,17.45,1.25,2.08,1.07,47.50,47.50,95.95,94.70,1.25,0.40,15.82,80.25,2.17,96.30,2.33,0,0,MIN,Home,Loss,0,76,19,24,200,4,5,15,55,27,0.49,48,24,0.50,7,3,0.43,22,19,0.86,6,35,41,62.12,0.70,0.64,0.52,23.08,87.50,27.06,4.80,5.99,9.26,1.38,55.25,55.25,91.11,92.30,-1.19,0.37,21.51,0.79,0.17,83.42,100.10,LAS
2018-05-20,Regular,2018,1,0,PHO,Away,Win,1,87,20,12,200,6,5,19,60,28,0.47,45,22,0.49,15,6,0.40,28,25,0.89,5,23,28,43.08,0.71,0.66,0.52,17.24,63.89,14.23,7.76,6.47,12.82,1.45,63.25,63.25,112.55,106.08,6.47,0.42,25.10,77.30,1.67,92.76,0.50,0,0,SEA,Home,Loss,0,82,15,16,200,7,7,25,66,25,0.38,39,15,0.38,27,10,0.37,25,22,0.88,13,24,37,56.92,0.60,0.57,0.45,36.11,82.76,17.20,9.14,9.14,15.56,1.24,54.62,54.62,107.06,113.59,-6.53,0.36,17.44,0.94,0.44,76.59,91.91,PHO
2018-05-20,Regular,2018,0,1,IND,Away,Loss,0,75,13,15,200,6,2,17,62,27,0.44,47,22,0.47,15,5,0.33,25,16,0.64,10,29,39,59.09,0.48,0.56,0.48,31.25,85.29,17.05,7.97,2.66,4.76,1.21,48.38,48.38,99.60,108.90,-9.30,0.40,16.46,75.30,0.87,90.36,0.40,0,0,WAS,Home,Win,0,82,18,10,200,7,2,17,67,28,0.42,42,17,0.40,25,11,0.44,16,15,0.94,5,22,27,40.91,0.64,0.58,0.50,14.71,68.75,11.90,9.25,2.64,4.26,1.22,55.75,55.75,108.37,99.11,9.26,0.39,20.46,1.80,0.70,75.67,90.80,WAS
2018-05-22,Regular,2018,1,0,LAS,Away,Win,1,87,21,10,200,7,2,21,67,34,0.51,50,28,0.56,17,6,0.35,15,13,0.87,5,29,34,51.52,0.62,0.62,0.55,15.62,85.29,11.96,9.03,2.58,4.65,1.30,67.38,67.38,112.29,90.35,21.94,0.47,22.98,77.48,2.10,92.98,0.70,0,2,IND,Home,Loss,1,70,11,14,200,2,3,17,62,24,0.39,43,18,0.42,19,6,0.32,16,16,1.00,5,27,32,48.48,0.46,0.53,0.44,14.71,84.38,16.86,2.63,3.94,6.00,1.13,36.25,36.25,92.04,114.40,-22.36,0.34,13.76,0.79,0.14,76.05,91.26,LAS
2018-05-22,Regular,2018,1,0,LVA,Away,Loss,1,70,16,15,200,13,5,14,72,28,0.39,63,27,0.43,9,1,0.11,22,13,0.59,8,28,36,49.32,0.57,0.46,0.40,21.05,80.00,15.52,15.14,5.82,13.89,0.97,48.75,48.75,81.50,87.32,-5.82,0.35,17.15,85.89,1.07,103.07,0.87,1,0,WAS,Home,Win,1,75,12,22,200,9,4,22,67,28,0.42,36,20,0.56,31,8,0.26,13,11,0.85,7,30,37,50.68,0.43,0.54,0.48,20.00,78.95,23.23,10.43,4.63,6.35,1.12,41.38,41.38,86.90,81.10,5.80,0.34,12.59,0.55,0.41,86.31,103.57,WAS
2018-05-23,Regular,2018,1,0,ATL,Away,Win,2,81,20,16,200,8,6,16,71,33,0.46,53,27,0.51,18,6,0.33,13,9,0.69,12,29,41,59.42,0.61,0.55,0.51,37.50,78.38,17.26,10.40,7.80,11.11,1.14,66.62,66.62,105.26,81.87,23.39,0.44,19.75,76.95,1.25,92.34,0.50,2,0,CHI,Home,Loss,2,63,20,13,200,9,5,14,68,25,0.37,54,22,0.41,14,3,0.21,12,10,0.83,8,20,28,40.58,0.80,0.45,0.39,21.62,62.50,15.07,12.39,6.88,9.43,0.93,44.50,44.50,86.72,111.49,-24.77,0.34,20.89,1.54,0.69,72.65,87.18,ATL
2018-05-23,Regular,2018,0,2,DAL,Away,Loss,2,68,19,11,200,3,8,21,81,28,0.35,52,19,0.37,29,9,0.31,7,3,0.43,6,27,33,39.76,0.68,0.41,0.40,14.29,65.85,11.57,3.46,9.23,12.90,0.84,39.38,39.38,78.43,87.66,-9.23,0.33,17.61,86.70,1.73,104.04,0.27,0,1,MIN,Home,Win,2,76,15,13,200,7,4,11,73,27,0.37,62,24,0.39,11,3,0.27,28,19,0.68,14,36,50,60.24,0.56,0.48,0.39,34.15,85.71,13.22,8.39,4.80,7.69,1.04,59.25,59.25,91.11,81.52,9.59,0.38,16.91,1.15,0.54,83.42,100.10,MIN
2018-05-23,Regular,2018,0,1,SEA,Away,Win,2,87,14,14,200,7,3,20,56,29,0.52,38,22,0.58,18,7,0.39,23,22,0.96,5,28,33,58.93,0.48,0.71,0.58,19.23,93.33,17.47,9.51,4.07,6.25,1.55,62.38,62.38,118.14,96.41,21.73,0.45,18.95,73.64,1.00,88.37,0.50,2,0,PHO,Home,Loss,2,71,17,11,200,5,5,18,64,28,0.44,48,23,0.48,16,5,0.31,11,10,0.91,2,21,23,41.07,0.61,0.53,0.48,6.67,80.77,13.78,6.57,6.57,13.16,1.11,43.62,43.62,93.36,114.40,-21.04,0.38,19.50,1.55,0.45,76.05,91.26,SEA
2018-05-24,Regular,2018,2,0,LAS,Away,Win,1,94,23,11,200,8,2,16,64,35,0.55,50,27,0.54,14,8,0.57,19,16,0.84,5,9,14,32.56,0.66,0.69,0.61,20.00,50.00,13.20,10.47,2.62,4.00,1.47,64.62,64.62,123.05,133.53,-10.48,0.50,25.66,76.39,2.09,91.67,0.73,0,1,CON,Home,Loss,3,102,26,20,200,6,3,22,64,40,0.62,50,32,0.64,14,8,0.57,16,14,0.88,9,20,29,67.44,0.65,0.76,0.69,50.00,80.00,21.97,7.28,3.64,6.00,1.59,76.00,76.00,123.74,114.04,9.70,0.53,25.25,1.30,0.30,82.43,98.92,LAS
2018-05-24,Regular,2018,2,0,WAS,Away,Win,1,93,13,12,200,4,1,22,65,33,0.51,45,25,0.56,20,8,0.40,24,19,0.79,9,26,35,60.34,0.39,0.66,0.57,29.03,96.30,13.70,5.22,1.30,2.78,1.43,58.75,58.75,121.31,109.57,11.74,0.49,16.36,76.66,1.08,91.99,0.33,0,3,IND,Home,Loss,1,84,20,12,200,9,3,22,60,29,0.48,36,20,0.56,24,9,0.38,21,17,0.81,1,22,23,39.66,0.69,0.65,0.56,3.70,70.97,14.77,11.40,3.80,6.67,1.40,57.62,57.62,106.38,117.78,-11.40,0.41,24.17,1.67,0.75,78.96,94.75,WAS
2018-05-25,Regular,2018,1,1,MIN,Away,Win,1,78,13,9,200,4,2,17,69,27,0.39,51,23,0.45,18,4,0.22,25,20,0.80,10,34,44,56.41,0.48,0.52,0.42,30.30,75.56,10.11,5.38,2.69,4.17,1.13,53.88,53.88,104.87,96.80,8.07,0.40,16.25,74.38,1.44,89.26,0.44,0,1,NYL,Home,Loss,4,72,11,6,200,4,2,20,72,27,0.38,48,22,0.46,24,5,0.21,18,13,0.72,11,23,34,43.59,0.41,0.47,0.41,24.44,69.70,6.98,5.75,2.87,3.92,1.00,40.50,40.50,103.42,112.04,-8.62,0.40,13.57,1.83,0.67,69.62,83.54,MIN
2018-05-25,Regular,2018,2,1,CHI,Away,Loss,1,91,21,14,225,5,4,19,73,36,0.49,56,29,0.52,17,7,0.41,13,12,0.92,7,32,39,53.42,0.58,0.60,0.54,25.93,69.57,15.10,6.10,4.88,7.02,1.25,68.88,61.23,111.06,115.94,-4.88,0.45,20.53,81.94,1.50,87.40,0.36,1,1,SEA,Home,Win,1,95,21,7,225,8,5,17,81,34,0.42,57,29,0.51,24,5,0.21,27,22,0.81,14,20,34,46.58,0.62,0.55,0.45,30.43,74.07,7.01,10.24,6.40,8.93,1.17,71.62,63.66,121.65,116.53,5.12,0.46,21.62,3.00,1.14,78.09,83.30,SEA
2018-05-26,Regular,2018,0,3,DAL,Away,Win,2,78,14,21,200,7,12,21,58,22,0.38,37,16,0.43,21,6,0.29,36,28,0.78,8,39,47,57.32,0.64,0.59,0.43,29.63,70.91,22.14,8.54,14.64,18.75,1.34,59.75,59.75,95.13,85.38,9.75,0.31,18.14,81.99,0.67,98.39,0.33,2,0,ATL,Home,Loss,2,70,13,12,200,13,9,26,85,24,0.28,64,18,0.28,21,6,0.29,22,16,0.73,16,19,35,42.68,0.54,0.39,0.32,29.09,70.37,11.25,17.11,11.85,24.32,0.82,38.25,38.25,92.15,102.69,-10.54,0.30,12.96,1.08,1.08,75.96,91.15,DAL
2018-05-26,Regular,2018,0,4,IND,Away,Loss,1,77,18,18,200,7,5,23,70,28,0.40,50,21,0.42,20,7,0.35,19,14,0.74,12,25,37,56.06,0.64,0.52,0.45,32.43,86.21,18.68,8.64,6.17,9.62,1.10,48.62,48.62,95.04,106.15,-11.11,0.37,18.44,81.02,1.00,97.22,0.39,0,2,CON,Home,Win,1,86,20,13,200,6,3,20,66,32,0.48,52,29,0.56,14,3,0.21,26,19,0.73,4,25,29,43.94,0.62,0.60,0.51,13.79,67.57,14.37,7.11,3.56,6.00,1.30,55.50,55.50,101.92,91.25,10.67,0.43,22.84,1.54,0.46,84.38,101.26,CON
2018-05-27,Regular,2018,2,1,PHO,Away,Loss,3,72,19,18,200,5,3,30,56,26,0.46,40,22,0.55,16,4,0.25,21,16,0.76,8,18,26,44.83,0.73,0.59,0.50,26.67,64.29,21.62,6.77,4.06,7.50,1.29,37.62,37.62,97.51,108.34,-10.83,0.39,22.68,73.84,1.06,88.61,0.28,3,0,LAS,Home,Win,2,80,17,14,200,8,1,19,58,26,0.45,40,19,0.47,18,7,0.39,30,21,0.70,10,22,32,55.17,0.65,0.62,0.51,35.71,73.33,16.43,10.91,1.36,2.50,1.38,54.25,54.25,109.14,98.23,10.91,0.42,22.43,1.21,0.57,73.30,87.96,LAS
2018-05-27,Regular,2018,2,1,SEA,Away,Loss,1,105,25,12,200,9,4,23,69,36,0.52,43,24,0.56,26,12,0.46,24,21,0.88,6,26,32,48.48,0.69,0.71,0.61,20.00,72.22,13.11,10.77,4.79,6.56,1.52,84.25,84.25,125.69,117.31,8.38,0.48,26.19,83.54,2.08,100.25,0.75,1,1,LVA,Home,Win,4,98,20,16,200,6,0,18,71,36,0.51,61,31,0.51,10,5,0.50,30,21,0.70,10,24,34,51.52,0.56,0.63,0.54,27.78,80.00,15.97,6.82,0.00,0.00,1.38,62.50,62.50,111.38,119.33,-7.95,0.47,21.32,1.25,0.38,87.99,105.59,LVA
2018-05-27,Regular,2018,2,1,MIN,Away,Loss,1,78,22,13,200,9,2,15,62,31,0.50,41,25,0.61,21,6,0.29,13,10,0.77,5,21,26,41.94,0.71,0.60,0.55,18.52,60.00,16.11,12.15,2.70,5.41,1.26,59.88,59.88,105.32,121.52,-16.20,0.44,24.10,74.06,1.69,88.87,0.69,3,0,WAS,Home,Win,2,90,19,11,200,7,3,21,72,35,0.49,37,20,0.54,35,15,0.43,9,5,0.56,14,22,36,58.06,0.54,0.61,0.59,40.00,81.48,12.65,9.83,4.21,7.32,1.25,70.62,70.62,126.40,109.55,16.85,0.51,19.38,1.73,0.64,71.20,85.44,WAS
