gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
1998-06-11,Regular,1998,0,0,WAS,Away,Loss,0,57.0,14.0,23.0,200.0,5.0,0.0,20.0,54.0,22.0,0.41,47.0,20.0,14.96,7.0,2.0,0.29,17.0,11.0,0.65,9.0,15.0,24.0,48.00,0.64,0.49,0.43,31.03,71.43,27.23,9.26,0.00,0.00,1.06,16.38,16.38,105.58,153.73,-48.15,0.32,16.76,53.99,0.61,64.79,0.22,0,0,CHA,Home,Win,0,83.0,22.0,12.0,200.0,17.0,3.0,16.0,59.0,33.0,0.56,46.0,29.0,19.93,13.0,4.0,0.31,21.0,13.0,0.62,6.0,20.0,26.0,52.00,0.67,0.65,0.59,28.57,68.97,14.96,23.29,4.11,6.38,1.41,73.88,73.88,113.73,78.10,35.63,0.51,26.27,1.83,1.42,72.98,87.58,CHA
1998-06-11,Regular,1998,0,0,NYL,Away,Loss,0,71.0,13.0,19.0,200.0,12.0,2.0,25.0,59.0,28.0,0.47,47.0,24.0,15.93,12.0,4.0,0.33,20.0,11.0,0.55,10.0,15.0,25.0,50.00,0.46,0.56,0.51,32.26,78.95,21.89,20.34,3.39,4.76,1.20,36.00,36.00,120.36,132.23,-11.87,0.41,15.82,58.99,0.68,70.79,0.63,0,0,CLE,Home,Win,0,78.0,23.0,20.0,200.0,9.0,4.0,21.0,47.0,27.0,0.57,42.0,24.0,21.94,5.0,3.0,0.60,27.0,21.0,0.78,4.0,21.0,25.0,50.00,0.85,0.74,0.61,21.05,67.74,25.35,12.10,5.38,8.51,1.66,57.88,57.88,104.87,95.46,9.41,0.43,29.44,1.15,0.45,74.38,89.26,CLE
1998-06-11,Regular,1998,0,0,PHO,Away,Win,0,73.0,22.0,23.0,200.0,7.0,1.0,24.0,54.0,27.0,0.50,41.0,23.0,13.93,13.0,4.0,0.31,24.0,15.0,0.62,11.0,17.0,28.0,54.90,0.81,0.62,0.54,40.74,70.83,26.27,12.97,1.85,2.27,1.35,42.25,42.25,135.21,129.65,5.56,0.41,24.88,53.99,0.96,64.79,0.30,0,0,SAC,Home,Loss,0,70.0,16.0,18.0,200.0,9.0,1.0,28.0,57.0,24.0,0.42,44.0,20.0,10.93,13.0,4.0,0.31,23.0,18.0,0.78,7.0,16.0,23.0,45.10,0.67,0.56,0.46,29.17,59.26,21.15,12.25,1.36,2.44,1.23,31.62,31.62,95.30,99.39,-4.09,0.35,19.78,0.89,0.50,73.45,88.14,PHO
1998-06-11,Regular,1998,0,0,LAS,Away,Win,0,89.0,24.0,15.0,200.0,9.0,5.0,28.0,73.0,32.0,0.44,58.0,26.0,16.92,15.0,6.0,0.40,24.0,19.0,0.79,12.0,23.0,35.0,48.61,0.75,0.57,0.48,31.58,67.65,15.22,12.33,6.85,10.20,1.22,63.50,63.50,121.93,113.71,8.22,0.42,23.66,72.99,1.60,87.59,0.60,0,0,UTA,Home,Loss,0,83.0,16.0,18.0,200.0,8.0,9.0,25.0,63.0,24.0,0.38,49.0,19.0,9.92,14.0,5.0,0.36,36.0,30.0,0.83,11.0,26.0,37.0,51.39,0.67,0.59,0.42,32.35,68.42,18.59,9.64,10.84,15.52,1.32,55.25,55.25,100.01,107.24,-7.23,0.34,19.71,0.89,0.44,82.99,99.59,LAS
1998-06-13,Regular,1998,1,0,CHA,Away,Win,1,78.0,18.0,14.0,200.0,5.0,2.0,17.0,59.0,27.0,0.46,50.0,21.0,17.90,9.0,6.0,0.67,29.0,18.0,0.62,9.0,28.0,37.0,48.68,0.67,0.60,0.51,25.71,68.29,16.32,8.48,3.39,3.85,1.32,55.38,55.38,132.23,116.97,15.26,0.42,23.01,58.99,1.29,70.79,0.36,0,0,DET,Home,Loss,0,69.0,18.0,14.0,200.0,6.0,2.0,26.0,73.0,27.0,0.37,52.0,21.0,5.92,21.0,6.0,0.29,13.0,9.0,0.69,13.0,26.0,39.0,51.32,0.67,0.45,0.41,31.71,74.29,15.10,7.92,2.64,4.00,0.95,40.88,40.88,91.04,102.92,-11.88,0.36,18.13,1.29,0.43,75.79,90.95,CHA
1998-06-13,Regular,1998,0,1,NYL,Away,Loss,1,62.0,15.0,21.0,200.0,13.0,3.0,23.0,60.0,24.0,0.40,47.0,20.0,10.93,13.0,4.0,0.31,14.0,10.0,0.71,8.0,12.0,20.0,38.46,0.62,0.49,0.43,28.57,50.00,24.09,21.67,5.00,7.69,1.03,27.25,27.25,103.35,121.69,-18.34,0.33,16.70,59.99,0.71,71.99,0.62,0,0,HOU,Home,Win,0,73.0,15.0,25.0,200.0,17.0,4.0,23.0,54.0,25.0,0.46,39.0,19.0,9.89,15.0,6.0,0.40,24.0,17.0,0.71,12.0,20.0,32.0,61.54,0.60,0.62,0.52,50.00,71.43,27.91,22.09,5.20,8.51,1.35,50.00,50.00,94.85,80.56,14.29,0.37,17.98,0.60,0.68,76.96,92.35,HOU
1998-06-13,Regular,1998,0,1,WAS,Away,Loss,1,77.0,14.0,24.0,200.0,11.0,5.0,20.0,54.0,27.0,0.50,46.0,23.0,18.93,8.0,4.0,0.50,30.0,19.0,0.63,11.0,24.0,35.0,54.69,0.52,0.64,0.54,36.67,70.59,26.32,20.37,9.26,10.64,1.43,50.25,50.25,142.62,144.47,-1.85,0.40,17.77,53.99,0.58,64.79,0.46,0,1,UTA,Home,Win,1,78.0,20.0,20.0,200.0,12.0,3.0,29.0,64.0,28.0,0.44,47.0,18.0,10.84,17.0,10.0,0.59,17.0,12.0,0.71,10.0,19.0,29.0,45.31,0.71,0.58,0.52,29.41,63.33,21.86,15.48,3.87,6.52,1.22,48.38,48.38,100.62,99.33,1.29,0.38,20.72,1.00,0.60,77.52,93.02,UTA
1998-06-14,Regular,1998,1,0,LAS,Away,Loss,2,60.0,12.0,19.0,200.0,7.0,1.0,29.0,58.0,22.0,0.38,46.0,21.0,9.98,12.0,1.0,0.08,18.0,15.0,0.83,11.0,27.0,38.0,59.38,0.55,0.48,0.39,39.29,75.00,22.37,12.07,1.72,2.22,1.03,27.50,27.50,103.47,120.71,-17.24,0.33,14.80,57.99,0.63,69.59,0.37,1,0,PHO,Home,Win,2,70.0,17.0,13.0,200.0,10.0,2.0,19.0,53.0,21.0,0.40,45.0,18.0,12.94,8.0,3.0,0.38,34.0,25.0,0.74,9.0,17.0,26.0,40.62,0.81,0.58,0.42,25.00,60.71,16.06,14.76,2.95,4.35,1.32,45.75,45.75,103.32,88.56,14.76,0.37,24.99,1.31,0.77,67.75,81.30,PHO
1998-06-15,Regular,1998,1,0,HOU,Away,Win,1,79.0,10.0,15.0,200.0,9.0,3.0,21.0,60.0,27.0,0.45,42.0,21.0,8.90,18.0,6.0,0.33,26.0,19.0,0.73,8.0,24.0,32.0,47.06,0.37,0.60,0.50,27.59,61.54,17.35,15.00,5.00,5.36,1.32,46.75,46.75,131.69,108.35,23.34,0.40,13.59,59.99,0.67,71.99,0.60,2,0,CHA,Home,Loss,1,65.0,17.0,15.0,200.0,4.0,5.0,24.0,68.0,24.0,0.35,56.0,21.0,11.96,12.0,3.0,0.25,21.0,14.0,0.67,15.0,21.0,36.0,52.94,0.71,0.45,0.38,38.46,72.41,16.26,5.57,6.97,11.90,0.96,35.88,35.88,90.55,110.06,-19.51,0.35,18.73,1.13,0.27,71.78,86.14,HOU
1998-06-15,Regular,1998,1,0,CLE,Away,Win,3,96.0,20.0,10.0,200.0,11.0,4.0,26.0,65.0,38.0,0.58,59.0,35.0,31.95,6.0,3.0,0.50,22.0,17.0,0.77,5.0,18.0,23.0,36.51,0.53,0.69,0.61,17.86,51.43,11.81,16.93,6.15,7.41,1.48,69.50,69.50,147.72,130.79,16.93,0.54,23.44,64.99,2.00,77.99,1.10,0,1,DET,Home,Loss,1,85.0,17.0,17.0,200.0,4.0,0.0,24.0,68.0,31.0,0.46,54.0,25.0,16.91,14.0,6.0,0.43,30.0,17.0,0.57,17.0,23.0,40.0,63.49,0.55,0.57,0.50,48.57,82.14,17.31,4.99,0.00,0.00,1.25,49.00,49.00,106.02,119.75,-13.73,0.46,19.14,1.00,0.24,80.17,96.20,CLE
