gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2001-05-28,Regular,2001,0,0,LAS,Away,Win,0,66.0,13.0,15.0,200.0,6.0,2.0,23.0,55.0,24.0,0.44,45.0,21.0,13.95,10.0,3.0,0.30,25.0,15.0,0.60,7.0,24.0,31.0,51.67,0.54,0.55,0.46,25.00,75.00,18.52,10.91,3.64,5.00,1.20,34.88,34.88,120.02,114.57,5.45,0.38,18.06,54.99,0.87,65.99,0.40,0,0,HOU,Home,Loss,0,63.0,15.0,15.0,200.0,10.0,0.0,20.0,60.0,21.0,0.35,40.0,18.0,0.95,20.0,3.0,0.15,22.0,18.0,0.82,8.0,21.0,29.0,48.33,0.71,0.49,0.38,25.00,75.00,17.71,13.83,0.00,0.00,1.05,33.50,33.50,87.15,91.30,-4.15,0.31,18.68,1.00,0.67,72.29,86.75,LAS
2001-05-30,Regular,2001,0,0,UTA,Away,Win,0,81.0,23.0,16.0,200.0,11.0,6.0,23.0,60.0,32.0,0.53,58.0,32.0,30.00,2.0,0.0,0.00,21.0,17.0,0.81,4.0,36.0,40.0,56.34,0.72,0.63,0.53,17.39,75.00,18.77,18.34,10.00,10.17,1.35,71.62,71.62,135.02,103.35,31.67,0.44,25.62,59.99,1.44,71.99,0.69,0,0,PHO,Home,Loss,0,62.0,10.0,17.0,200.0,7.0,3.0,22.0,69.0,20.0,0.29,59.0,19.0,9.99,10.0,1.0,0.10,30.0,21.0,0.70,12.0,19.0,31.0,43.66,0.50,0.41,0.30,25.00,82.61,17.14,9.01,3.86,5.17,0.90,17.25,17.25,79.79,104.25,-24.46,0.27,12.08,0.59,0.41,77.70,93.24,UTA
2001-05-31,Regular,2001,0,0,WAS,Away,Loss,0,34.0,8.0,19.0,200.0,7.0,2.0,15.0,53.0,13.0,0.25,38.0,12.0,-2.02,15.0,1.0,0.07,7.0,7.0,1.00,4.0,19.0,23.0,35.94,0.62,0.31,0.25,11.76,63.33,25.31,13.21,3.77,3.85,0.64,0.38,0.38,64.15,130.19,-66.04,0.19,10.40,53.00,0.42,63.60,0.37,0,0,CLE,Home,Win,0,69.0,23.0,13.0,200.0,9.0,1.0,17.0,65.0,30.0,0.46,52.0,25.0,16.92,13.0,5.0,0.38,4.0,4.0,1.00,11.0,30.0,41.0,64.06,0.77,0.52,0.50,36.67,88.24,16.30,12.94,1.44,2.63,1.06,63.75,63.75,99.21,48.89,50.32,0.45,23.18,1.77,0.69,69.55,83.46,CLE
2001-05-31,Regular,2001,0,1,HOU,Away,Win,2,82.0,21.0,7.0,200.0,6.0,4.0,16.0,63.0,31.0,0.49,51.0,26.0,18.92,12.0,5.0,0.42,24.0,15.0,0.62,10.0,17.0,27.0,45.76,0.68,0.60,0.53,30.30,65.38,8.69,9.53,6.35,9.76,1.30,64.50,64.50,130.18,123.83,6.35,0.52,26.11,62.99,3.00,75.59,0.86,0,0,IND,Home,Loss,0,78.0,16.0,12.0,200.0,5.0,3.0,19.0,58.0,26.0,0.45,41.0,18.0,8.86,17.0,8.0,0.47,19.0,18.0,0.95,9.0,23.0,32.0,54.24,0.62,0.63,0.52,34.62,69.70,15.31,7.36,4.41,5.88,1.34,56.12,56.12,114.76,120.64,-5.88,0.43,20.61,1.33,0.42,67.97,81.56,HOU
2001-05-31,Regular,2001,0,0,NYL,Away,Loss,0,59.0,11.0,19.0,200.0,8.0,3.0,23.0,50.0,22.0,0.44,40.0,18.0,11.92,10.0,4.0,0.40,18.0,11.0,0.61,10.0,22.0,32.0,50.79,0.50,0.55,0.48,33.33,66.67,24.70,16.00,6.00,6.25,1.18,32.75,32.75,118.02,136.03,-18.01,0.37,15.26,49.99,0.58,59.99,0.42,0,0,MIA,Home,Win,0,68.0,13.0,11.0,200.0,11.0,2.0,17.0,54.0,24.0,0.44,48.0,21.0,17.94,6.0,3.0,0.50,24.0,17.0,0.71,11.0,20.0,31.0,49.21,0.54,0.57,0.47,33.33,66.67,14.56,17.40,3.16,5.00,1.26,51.00,51.00,107.58,93.34,14.24,0.44,19.28,1.18,1.00,63.21,75.85,MIA
2001-05-31,Regular,2001,0,0,MIN,Away,Win,0,82.0,11.0,11.0,200.0,6.0,4.0,28.0,60.0,26.0,0.43,42.0,16.0,7.83,18.0,10.0,0.56,23.0,20.0,0.87,10.0,19.0,29.0,55.77,0.42,0.63,0.52,41.67,67.86,13.56,10.00,6.67,9.30,1.37,48.62,48.62,136.69,108.35,28.34,0.43,15.30,59.99,1.00,71.99,0.55,0,0,POR,Home,Loss,0,65.0,13.0,10.0,200.0,5.0,2.0,21.0,60.0,20.0,0.33,43.0,18.0,2.97,17.0,2.0,0.12,30.0,23.0,0.77,9.0,14.0,23.0,44.23,0.65,0.49,0.35,32.14,58.33,12.02,7.66,3.07,4.76,1.08,27.75,27.75,99.62,125.67,-26.05,0.33,18.62,1.30,0.50,65.25,78.30,MIN
2001-05-31,Regular,2001,0,1,PHO,Away,Loss,0,70.0,17.0,22.0,200.0,5.0,4.0,27.0,57.0,24.0,0.42,46.0,20.0,12.93,11.0,4.0,0.36,22.0,18.0,0.82,10.0,22.0,32.0,48.48,0.71,0.57,0.46,33.33,61.11,24.81,8.77,7.02,7.84,1.23,36.00,36.00,122.83,145.64,-22.81,0.35,19.69,56.99,0.77,68.39,0.23,0,0,SEA,Home,Win,0,83.0,22.0,13.0,200.0,11.0,5.0,23.0,63.0,29.0,0.46,51.0,26.0,16.95,12.0,3.0,0.25,34.0,22.0,0.65,14.0,20.0,34.0,51.52,0.76,0.59,0.48,38.89,66.67,14.29,14.74,6.70,10.87,1.32,65.50,65.50,111.23,93.81,17.42,0.47,26.49,1.69,0.85,74.62,89.54,SEA
2001-06-01,Regular,2001,1,0,LAS,Away,Win,3,68.0,20.0,23.0,200.0,13.0,6.0,22.0,61.0,29.0,0.48,52.0,28.0,19.98,9.0,1.0,0.11,12.0,9.0,0.75,10.0,24.0,34.0,61.82,0.69,0.53,0.48,41.67,77.42,25.76,21.31,9.84,14.63,1.11,50.75,50.75,111.49,101.66,9.83,0.39,20.26,60.99,0.87,73.19,0.57,0,0,ORL,Home,Loss,0,62.0,13.0,15.0,200.0,17.0,6.0,17.0,59.0,19.0,0.32,41.0,14.0,0.92,18.0,5.0,0.28,25.0,19.0,0.76,7.0,14.0,21.0,38.18,0.68,0.48,0.36,22.58,58.33,17.65,24.38,8.60,11.54,1.05,38.38,38.38,88.91,97.52,-8.61,0.28,17.11,0.87,1.13,69.73,83.68,LAS
2001-06-02,Regular,2001,2,0,LAS,Away,Win,0,76.0,18.0,12.0,200.0,7.0,4.0,23.0,59.0,27.0,0.46,46.0,23.0,13.93,13.0,4.0,0.31,22.0,18.0,0.82,11.0,17.0,28.0,50.00,0.67,0.60,0.49,40.74,58.62,14.87,11.87,6.78,9.09,1.29,52.75,52.75,128.84,113.58,15.26,0.45,22.69,58.99,1.50,70.79,0.58,0,0,CHA,Home,Loss,0,67.0,17.0,13.0,200.0,7.0,0.0,24.0,61.0,23.0,0.38,44.0,18.0,5.92,17.0,5.0,0.29,21.0,16.0,0.76,12.0,16.0,28.0,50.00,0.74,0.51,0.42,41.38,59.26,15.62,10.77,0.00,0.00,1.10,36.38,36.38,103.12,116.98,-13.86,0.37,20.79,1.31,0.54,64.97,77.96,LAS
2001-06-02,Regular,2001,1,1,HOU,Away,Win,1,74.0,11.0,17.0,200.0,6.0,4.0,22.0,57.0,30.0,0.53,50.0,28.0,22.96,7.0,2.0,0.29,15.0,12.0,0.80,8.0,22.0,30.0,60.00,0.37,0.61,0.54,34.78,81.48,21.09,10.53,7.02,7.84,1.30,43.12,43.12,129.85,128.09,1.76,0.45,14.03,56.99,0.65,68.39,0.35,0,0,DET,Home,Loss,0,73.0,15.0,13.0,200.0,7.0,2.0,19.0,60.0,29.0,0.48,51.0,24.0,19.92,9.0,5.0,0.56,13.0,10.0,0.77,5.0,15.0,20.0,40.00,0.52,0.58,0.53,18.52,65.22,16.51,10.01,2.86,4.00,1.22,40.88,40.88,104.42,105.85,-1.43,0.43,18.23,1.15,0.54,69.91,83.89,HOU
