gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2005-05-21,Regular,2005,0,0,WAS,Away,Win,0,60.0,14.0,20.0,200.0,14.0,2.0,18.0,48.0,22.0,0.46,36.0,18.0,9.92,12.0,4.0,0.33,16.0,12.0,0.75,4.0,23.0,27.0,49.09,0.64,0.58,0.50,19.05,67.65,26.65,29.17,4.17,5.13,1.25,40.25,40.25,125.03,87.52,37.51,0.34,18.68,47.99,0.70,57.59,0.70,0,0,CHA,Home,Loss,0,42.0,10.0,25.0,200.0,10.0,0.0,23.0,51.0,15.0,0.29,39.0,12.0,2.94,12.0,3.0,0.25,14.0,9.0,0.64,11.0,17.0,28.0,50.91,0.67,0.39,0.32,32.35,80.95,30.43,15.04,0.00,0.00,0.82,5.75,5.75,63.19,90.27,-27.08,0.23,12.53,0.40,0.40,66.47,79.76,WAS
2005-05-21,Regular,2005,0,0,CON,Away,Loss,0,67.0,14.0,12.0,200.0,8.0,1.0,23.0,63.0,22.0,0.35,54.0,20.0,12.97,9.0,2.0,0.22,30.0,21.0,0.70,9.0,25.0,34.0,41.98,0.64,0.48,0.37,21.95,62.50,13.61,12.70,1.59,1.52,1.06,35.75,35.75,106.35,123.81,-17.46,0.33,18.47,63.00,1.17,75.60,0.67,0,0,DET,Home,Win,0,78.0,23.0,13.0,200.0,7.0,5.0,21.0,71.0,32.0,0.45,66.0,30.0,26.97,5.0,2.0,0.40,20.0,12.0,0.60,15.0,32.0,47.0,58.02,0.72,0.52,0.46,37.50,78.05,14.01,8.90,6.35,9.26,1.10,67.75,67.75,99.14,85.16,13.98,0.46,23.42,1.77,0.54,78.68,94.42,DET
2005-05-21,Regular,2005,0,0,SAC,Away,Win,0,77.0,16.0,18.0,200.0,5.0,5.0,25.0,57.0,27.0,0.47,42.0,20.0,11.88,15.0,7.0,0.47,25.0,16.0,0.64,7.0,23.0,30.0,49.18,0.59,0.62,0.54,24.14,71.88,20.93,8.77,8.77,13.16,1.35,44.62,44.62,135.11,126.34,8.77,0.40,20.00,56.99,0.89,68.39,0.28,0,0,PHO,Home,Loss,0,72.0,9.0,10.0,200.0,10.0,7.0,23.0,60.0,18.0,0.30,38.0,11.0,-4.12,22.0,7.0,0.32,36.0,29.0,0.81,9.0,22.0,31.0,50.82,0.50,0.53,0.36,28.12,75.86,11.65,14.02,9.81,16.67,1.20,43.50,43.50,100.91,107.92,-7.01,0.30,14.25,0.90,1.00,71.35,85.62,SAC
2005-05-21,Regular,2005,0,0,HOU,Away,Win,0,78.0,19.0,15.0,200.0,5.0,5.0,20.0,56.0,31.0,0.55,53.0,29.0,27.96,3.0,2.0,0.67,16.0,14.0,0.88,4.0,26.0,30.0,58.82,0.61,0.66,0.57,21.05,81.25,19.22,8.93,8.93,11.63,1.39,57.50,57.50,139.31,125.02,14.29,0.46,22.90,55.99,1.27,67.19,0.33,0,0,SAS,Home,Loss,0,70.0,14.0,11.0,200.0,5.0,2.0,21.0,58.0,24.0,0.41,43.0,19.0,8.91,15.0,5.0,0.33,19.0,17.0,0.89,6.0,15.0,21.0,41.18,0.58,0.56,0.46,18.75,78.95,14.22,7.55,3.02,3.77,1.21,36.12,36.12,105.72,117.81,-12.09,0.38,18.76,1.27,0.45,66.21,79.45,HOU
2005-05-21,Regular,2005,0,0,LAS,Away,Win,0,68.0,16.0,11.0,200.0,7.0,8.0,20.0,74.0,27.0,0.36,64.0,26.0,16.99,10.0,1.0,0.10,17.0,13.0,0.76,13.0,32.0,45.0,52.33,0.59,0.44,0.37,33.33,68.09,11.89,9.46,10.81,18.18,0.92,53.12,53.12,91.90,67.58,24.32,0.38,17.11,73.99,1.45,88.79,0.64,0,0,SEA,Home,Loss,0,50.0,11.0,16.0,200.0,3.0,6.0,21.0,76.0,18.0,0.24,44.0,12.0,-14.08,32.0,6.0,0.19,13.0,8.0,0.62,15.0,26.0,41.0,47.67,0.61,0.32,0.28,31.91,66.67,16.37,4.03,8.05,9.38,0.66,16.12,16.12,67.11,91.28,-24.17,0.23,11.31,0.69,0.19,74.50,89.40,LAS
2005-05-22,Regular,2005,0,0,MIN,Away,Loss,0,65.0,13.0,15.0,200.0,4.0,1.0,18.0,61.0,23.0,0.38,47.0,19.0,8.93,14.0,4.0,0.29,22.0,15.0,0.68,13.0,18.0,31.0,46.97,0.57,0.49,0.41,39.39,54.55,17.51,6.56,1.64,1.72,1.07,31.50,31.50,106.57,129.53,-22.96,0.37,16.39,60.99,0.87,73.19,0.27,1,0,HOU,Home,Win,0,79.0,13.0,6.0,200.0,11.0,3.0,21.0,64.0,29.0,0.45,58.0,24.0,22.92,6.0,5.0,0.83,20.0,16.0,0.80,15.0,20.0,35.0,53.03,0.45,0.58,0.49,45.45,60.61,7.61,17.76,4.84,6.38,1.23,64.00,64.00,127.52,104.92,22.60,0.53,17.52,2.17,1.83,61.95,74.34,HOU
2005-05-22,Regular,2005,0,1,CHA,Away,Loss,0,58.0,10.0,14.0,200.0,4.0,3.0,21.0,55.0,22.0,0.40,46.0,18.0,12.93,9.0,4.0,0.44,22.0,10.0,0.45,10.0,23.0,33.0,48.53,0.45,0.48,0.44,30.30,65.71,17.79,7.27,5.46,5.56,1.05,28.25,28.25,105.47,123.66,-18.19,0.37,14.43,54.99,0.71,65.99,0.29,0,0,IND,Home,Win,0,68.0,15.0,11.0,200.0,7.0,4.0,24.0,61.0,25.0,0.41,54.0,22.0,17.95,7.0,3.0,0.43,19.0,15.0,0.79,12.0,23.0,35.0,51.47,0.60,0.52,0.43,34.29,69.70,13.69,10.54,6.03,8.70,1.11,47.38,47.38,102.43,87.36,15.07,0.42,19.07,1.36,0.64,66.39,79.67,IND
2005-05-22,Regular,2005,1,0,DET,Away,Win,0,78.0,6.0,15.0,200.0,7.0,5.0,21.0,67.0,27.0,0.40,61.0,25.0,20.97,6.0,2.0,0.33,38.0,22.0,0.58,17.0,35.0,52.0,61.18,0.22,0.52,0.42,37.78,87.50,15.19,10.45,7.46,11.63,1.16,49.25,49.25,116.44,105.99,10.45,0.42,8.42,66.99,0.40,80.39,0.47,0,0,NYL,Home,Loss,0,71.0,13.0,9.0,200.0,4.0,7.0,27.0,70.0,22.0,0.31,43.0,17.0,-5.07,27.0,5.0,0.19,24.0,22.0,0.92,5.0,28.0,33.0,38.82,0.59,0.47,0.35,12.50,62.22,10.05,4.95,8.66,11.48,1.01,37.00,37.00,87.85,96.51,-8.66,0.30,15.96,1.44,0.44,80.82,96.98,DET
2005-05-22,Regular,2005,0,1,CON,Away,Win,0,69.0,17.0,14.0,200.0,7.0,5.0,16.0,52.0,24.0,0.46,47.0,21.0,18.94,5.0,3.0,0.60,19.0,18.0,0.95,4.0,20.0,24.0,44.44,0.71,0.61,0.49,16.00,68.97,18.83,13.46,9.62,10.00,1.33,48.88,48.88,132.72,128.87,3.85,0.39,22.78,51.99,1.21,62.39,0.50,1,0,WAS,Home,Loss,0,67.0,17.0,12.0,200.0,7.0,0.0,21.0,63.0,27.0,0.43,50.0,22.0,13.92,13.0,5.0,0.38,12.0,8.0,0.67,9.0,21.0,30.0,55.56,0.63,0.51,0.47,31.03,84.00,14.95,10.26,0.00,0.00,1.06,41.50,41.50,98.18,101.11,-2.93,0.41,19.60,1.42,0.58,68.24,81.89,CON
2005-05-24,Regular,2005,0,1,SAS,Away,Loss,2,65.0,14.0,19.0,200.0,8.0,3.0,21.0,60.0,24.0,0.40,48.0,18.0,11.90,12.0,6.0,0.50,11.0,11.0,1.00,6.0,20.0,26.0,41.27,0.58,0.52,0.45,19.35,62.50,22.66,13.33,5.00,5.77,1.08,32.38,32.38,108.33,123.33,-15.00,0.33,15.88,60.00,0.74,72.00,0.42,2,0,DET,Home,Win,1,74.0,18.0,21.0,200.0,13.0,9.0,20.0,59.0,25.0,0.42,52.0,22.0,17.95,7.0,3.0,0.43,27.0,21.0,0.78,12.0,25.0,37.0,58.73,0.72,0.57,0.45,37.50,80.65,22.86,16.46,11.39,18.75,1.25,59.38,59.38,93.67,82.28,11.39,0.37,20.90,0.86,0.62,79.00,94.80,DET
