gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2012-05-18,Regular,2012,0,0,LAS,Away,Win,0,72,13,14,196,16,4,13,65,26,0.40,49,21,0.43,16,5,0.31,20,15,0.75,6,21,27,42.86,0.50,0.52,0.44,15.79,84.00,15.95,19.90,4.97,11.11,1.11,50.00,51.02,89.54,82.08,7.46,0.36,15.62,80.41,0.93,98.46,1.14,0,0,SEA,Home,Loss,0,66,17,22,196,6,3,15,57,25,0.44,36,16,0.44,21,9,0.43,9,7,0.78,4,32,36,57.14,0.68,0.56,0.52,16.00,84.21,26.52,7.61,3.81,6.12,1.16,44.38,45.29,83.76,91.37,-7.61,0.33,18.47,0.77,0.27,78.80,96.49,LAS
2012-05-19,Regular,2012,0,0,ATL,Away,Loss,0,84,14,19,195,10,9,27,74,31,0.42,63,27,0.43,11,4,0.36,24,18,0.75,16,24,40,57.14,0.45,0.53,0.45,44.44,70.59,18.35,12.17,10.96,18.37,1.14,54.00,55.38,102.25,111.99,-9.74,0.40,14.52,82.15,0.74,101.11,0.53,0,0,IND,Home,Win,0,92,16,16,195,11,6,21,70,30,0.43,49,18,0.37,21,12,0.57,24,20,0.83,10,20,30,42.86,0.53,0.61,0.51,29.41,55.56,16.57,13.53,7.38,9.52,1.31,62.00,63.59,113.12,103.28,9.84,0.39,17.50,1.00,0.69,81.33,100.10,IND
2012-05-19,Regular,2012,0,0,CON,Away,Win,0,78,17,11,196,8,2,18,78,31,0.40,66,26,0.39,12,5,0.42,15,11,0.73,14,28,42,48.84,0.55,0.48,0.43,31.11,68.29,11.51,10.08,2.52,3.51,1.00,55.88,57.02,98.30,92.00,6.30,0.41,17.10,79.35,1.55,97.16,0.73,0,0,NYL,Home,Loss,0,73,14,10,195,4,4,16,72,28,0.39,57,26,0.46,15,2,0.13,24,15,0.62,13,31,44,51.16,0.50,0.47,0.40,31.71,68.89,10.80,5.15,5.15,6.06,1.01,50.25,51.54,93.96,100.40,-6.44,0.41,16.39,1.40,0.40,77.69,95.62,CON
2012-05-19,Regular,2012,0,0,SAS,Away,Win,0,88,19,24,194,13,7,14,56,31,0.55,37,25,0.68,19,6,0.32,29,20,0.69,12,24,36,59.02,0.61,0.71,0.61,48.00,66.67,25.87,16.51,8.89,11.86,1.57,73.12,75.38,111.73,100.30,11.43,0.46,22.03,78.76,0.79,97.44,0.54,0,0,TUL,Home,Loss,0,79,17,18,195,17,0,21,77,32,0.42,59,23,0.39,18,9,0.50,10,6,0.60,12,13,25,40.98,0.53,0.50,0.47,33.33,52.00,18.11,22.40,0.00,0.00,1.03,44.75,45.90,104.10,115.96,-11.86,0.39,15.80,0.94,0.94,75.89,93.40,SAS
2012-05-19,Regular,2012,0,0,CHI,Away,Win,0,69,16,21,195,13,2,17,52,27,0.52,44,22,0.50,8,5,0.62,14,10,0.71,6,22,28,48.28,0.59,0.63,0.57,23.08,68.75,26.53,17.95,2.76,4.26,1.33,48.75,50.00,95.26,78.70,16.56,0.40,19.31,72.43,0.76,89.14,0.62,0,0,WAS,Home,Loss,0,57,13,23,195,6,2,17,59,24,0.41,47,22,0.47,12,2,0.17,11,7,0.64,10,20,30,51.72,0.54,0.46,0.42,31.25,76.92,26.49,8.12,2.71,4.55,0.97,23.12,23.71,77.11,93.34,-16.23,0.33,14.42,0.57,0.26,73.92,90.98,CHI
2012-05-20,Regular,2012,0,1,NYL,Away,Loss,0,77,14,13,194,3,4,21,68,29,0.43,51,25,0.49,17,4,0.24,22,15,0.68,10,22,32,48.48,0.48,0.53,0.46,29.41,68.75,14.34,3.87,5.16,7.41,1.13,41.75,43.04,99.32,118.66,-19.34,0.41,16.41,77.53,1.08,95.91,0.23,1,0,CON,Home,Win,0,92,17,11,195,6,0,18,69,31,0.45,54,27,0.50,15,4,0.27,29,26,0.90,10,24,34,51.52,0.55,0.61,0.48,31.25,70.59,11.86,7.53,0.00,0.00,1.33,60.38,61.93,115.52,96.69,18.83,0.44,20.18,1.55,0.55,79.64,98.02,CON
2012-05-20,Regular,2012,0,0,PHO,Away,Win,0,83,16,17,195,11,2,17,75,30,0.40,49,18,0.37,26,12,0.46,18,11,0.61,10,18,28,41.18,0.53,0.53,0.48,26.32,60.00,17.01,12.71,2.31,2.90,1.11,47.00,48.21,95.92,121.35,-25.43,0.37,15.99,86.53,0.94,106.50,0.65,0,0,MIN,Home,Loss,0,105,22,15,195,12,5,17,77,44,0.57,69,40,0.58,8,4,0.50,18,13,0.72,12,28,40,58.82,0.50,0.65,0.60,40.00,73.68,15.01,13.54,5.64,10.20,1.36,89.00,91.28,118.50,93.67,24.83,0.55,20.74,1.47,0.80,88.61,109.06,PHO
2012-05-22,Regular,2012,0,1,SEA,Away,Loss,3,61,15,19,196,6,3,15,57,22,0.39,39,14,0.36,18,8,0.44,13,9,0.69,6,18,24,40.68,0.68,0.51,0.46,18.18,69.23,23.25,8.07,4.03,6.82,1.07,30.38,31.00,82.00,99.48,-17.48,0.31,17.59,74.39,0.79,91.09,0.32,1,0,LAS,Home,Win,3,74,16,13,197,12,8,15,64,28,0.44,44,20,0.45,20,8,0.40,12,10,0.83,8,27,35,59.32,0.57,0.56,0.50,30.77,81.82,15.80,16.44,10.96,20.51,1.16,65.25,66.24,101.37,83.56,17.81,0.41,18.24,1.23,0.92,73.00,88.93,LAS
2012-05-22,Regular,2012,0,1,MIN,Away,Win,1,80,15,14,194,5,5,20,64,32,0.50,53,29,0.55,11,3,0.27,17,13,0.76,9,29,38,55.07,0.47,0.59,0.52,34.62,67.44,16.38,6.85,6.85,9.26,1.25,57.38,59.15,109.66,84.99,24.67,0.46,17.54,72.95,1.07,90.25,0.36,0,2,NYL,Home,Loss,1,62,7,14,195,8,5,12,74,25,0.34,54,20,0.37,20,5,0.25,11,7,0.64,14,17,31,44.93,0.28,0.41,0.37,32.56,65.38,15.08,11.64,7.28,9.43,0.84,29.12,29.87,90.22,116.41,-26.19,0.34,7.76,0.50,0.57,68.72,84.58,MIN
2012-05-22,Regular,2012,1,0,PHO,Away,Win,1,89,19,22,194,7,5,26,64,35,0.55,51,31,0.61,13,4,0.31,19,15,0.79,9,21,30,49.18,0.54,0.65,0.58,34.62,60.00,23.31,8.45,6.03,10.64,1.39,54.62,56.31,107.41,105.00,2.41,0.45,19.66,82.86,0.86,102.51,0.32,0,1,TUL,Home,Loss,2,87,16,11,196,9,3,23,71,28,0.39,47,18,0.38,24,10,0.42,29,21,0.72,14,17,31,50.82,0.57,0.56,0.46,40.00,65.38,11.61,12.36,4.12,5.88,1.23,55.12,56.24,119.47,122.22,-2.75,0.41,18.77,1.45,0.82,72.82,89.17,PHO
